name,ratings,date,comment
 SKY RHEE ,5,4달 전,없음
 유현진 ,5,1년 전,없음
 dm Jung ,5,1년 전,"평점 2.9점을 믿을 수가 없다.
19세기에서 20세기를 지나오며,
세계 최대의 축제였던 엑스포
(요즘의 우리로 치면 월드컵이나 올림픽의 비즈니스버전이랄까?)에 대한 다양한 관련 물건들과 그 배경들을 알 수 있다.

과거의 엑스포는 신기술과 산업의 전시회였고,
기업들의 경쟁터이자, 각종 문화의 산실이였다.

거기에서부터 이해를 할 수 있다면 엑스포에 대해서 더 재밌지 않을까?
애장품을 기증 내지는 전시해주셔서 굉장한 기회를 주신 성함은 기억 안나지만.. 모 교수님께 진심으로 감사드리고 싶다.

여기서 일하시는 직원분들의 친절한 안내와 설명에도 한번 더 감동 받았다.

산업(사업을 비롯한 비즈니스와 기업 포함)과 역사, 디자인에 대해 관심이 있는 사람이라면 강력하게 추천한다.

파리 여행을 할때, 6일 머물었는데 루브르박물관에 4일을 갔었다.
그만큼 재밌었는데.
여긴 비록 그 규모에서는 떨어지지만, 더 재밌다..

현재 초대기업으로 존재하고 있는 꽤 많은 기업들과, 각종 캐릭터들, 그리고 패션 브랜드들, 세계적 랜드마크, 그리고 초유명 일류 화가, 건축가등
그들이 엑스포에 영향을 받고 영감을 얻었다는 사실을 기억하시라..
강력하게 추천한다.

나는 기회가 되면 또 갈 것 이다.

단 월요일은 휴무이니 주의."
 박성균 ,3,1년 전,맥주축제
 Алексе́й ,5,2년 전,역대 엑스포 개최도시의 기념품과 희귀한 아이템을 한 곳에서 볼 수 있습니다.
 허정임 ,1,3년 전,없음
 김학용 ,1,3년 전,없음
 Robert Helvie ,3,4년 전,"(Google 번역 제공) 남북한에 관한 흥미로운 것들. 거기에서 많은 시간을 보내지 않아도됩니다. 옆집 과학 공원은 한동안 수리를 위해 폐쇄되었습니다 (2016 년 12 월 현재).

(원문)
Some interesting things to see about the two Koreas. Don't need to spend a lot of time there. The next-door science park is closed for renovations for a while still (as of 12-2016)."
 Wee Shan Ong ,3,4년 전,없음
 jong eun hwang ,4,4년 전,없음
 David Robles ,5,4년 전,없음
 hyung-jun kjun ,1,5년 전,엑스포는 없고 너무 지루했어
