name,ratings,date,comment
 이미숙 ,5,1일 전,없음
 김대하 ,5,1일 전,야경도 일품!
 마니비 ,4,1일 전,없음
 Kyumin OH ,5,1일 전,없음
 Googoless ,5,1일 전,대전의 유일한 볼거리
 전유진 ,5,2일 전,굿
 더불어숲 ,3,4일 전,다리가 다 다리
 이진수 ,1,5일 전,없음
 이옥수 ,4,1주 전,없음
 좋은여행 ,5,1주 전,더욱더 상징성있게 커갈듯한곳입니다~
 김진선 ,5,1주 전,베리굿
 이찬호 ,4,1주 전,없음
 백영실 ,5,1주 전,없음
 박선아 ,5,1주 전,"대전의 몇 안되는 명소 중의 명소, 일명 맥도날드 다리ㅎㅎ 밤에 가면 더 운치있고 좋아요:)"
 전준모 ,5,1주 전,경치도 좋고 이쁘고 멋지고.
 김정철 ,5,1주 전,매우 멋있어요
 Jm A ,2,1주 전,여자친구랑 피크닉갔는데 공사중이였다 잡초가 무성하다 관리하는분 없으려나
 Yoonho Jung ,4,1주 전,없음
 Ian Jang ,5,1주 전,남문광장 한밭수목원과 붙여 있어서 나들이 하기 좋아요
 sewoong현 ,5,2주 전,없음
 Casshern Sin ,4,2주 전,대전엑스포 및 한밭수목원을 이어주는 다리 가족과 함께 한밭수목원 구경후 엑스포다리쪽도 꼭 가보길 추천 저녁되면 화려한 조명 배경도 볼만하다
 갓태 ,5,2주 전,없음
 이슬기 ,5,2주 전,없음
 서경덕 ,5,2주 전,모교다리
 룹숟당 ,4,2주 전,볼만한데 상권이 좀죽은듯
 Sanmun Kim ,4,2주 전,생각보다 길다
 육현준 ,4,2주 전,없음
 Dong-Ham Kim ,4,2주 전,없음
 이유빈 ,5,2주 전,없음
 Jason Bone ,5,3주 전,차가 못 다니는 다리로 넓직하고 건기 좋은 다리 입니다.
 이민영 ,5,3주 전,없음
 HN Y ,5,3주 전,없음
 alpha 911 ,5,3주 전,없음
 Myeongho AN ,4,3주 전,없음
 김ᄋᄋ ,5,3주 전,밤에  불빛켜저서  멋있다
 최민찬 ,5,3주 전,없음
 김길수 ,5,3주 전,"제대일93년1월7일
제대를 기다렸겠죠
엑스포보다는
근처 수목원 여술의전등
어우러져 산책 운동하기에 참좋아요"
 김재현 ,3,3주 전,없음
 환이 ,5,3주 전,말따위 귿귿귿
 Lee Hongweon ,5,4주 전,없음
 윤석만 ,2,4주 전,없음
 천혜빈 ,5,4주 전,없음
 양준호 ,4,1달 전,없음
 HyungJu Ahn ,4,1달 전,없음
 기호성 ,5,1달 전,굿굿
 김다마네기 ,5,1달 전,없음
 복신우 ,5,1달 전,없음
 서보현 ,5,1달 전,없음
 제로베리알 ,4,1달 전,없음
 선. ,5,1달 전,정말 재애미있네요
 Jina Jeong ,5,1달 전,없음
 유동근 ,5,1달 전,없음
 김지영 ,5,1달 전,없음
 Ethan Kim ,5,1달 전,"탁트인 광장에 한빛탑. 산책하기 좋네요ㅎ
한빛탑 운영 일자, 시간 체크하고 가세요.
안내판에는 입장마감 17시 20분이네요."
 이환영 ,5,1달 전,없음
 안승현 ,4,1달 전,없음
 사운 ,5,1달 전,없음
 송범석 ,5,1달 전,없음
 민승식 ,4,1달 전,산책하기 좋아요
 도니이 ,5,1달 전,없음
 강성오 ,5,1달 전,"그저께비온후,날씨가화창해서자전거타고엑스포남문광장,동문수목원에다녀왔어요
산책하기좋아요."
 이진수 ,5,1달 전,없음
 마뭉 ,5,1달 전,없음
 슈아코기 ,5,1달 전,대전의 유명한 다리
 Kuarm Lee ,5,1달 전,없음
