name,ratings,date,comment
 임영신 ,4,3달 전,없음
 이두의 ,5,1년 전,없음
 박동찬 ,5,1년 전,없음
 따블롱 ,5,1년 전,없음
 Onur Ozsoy ,5,1년 전,"(Google 번역 제공) 주말에는 대개 혼잡합니다. 야외 콘서트 및 엔터테인먼트, 길거리 음식, 작은 기념품은 지역에서 판매됩니다. 조금 더 앞에는 막대가 많은 막대의 거리가 있습니다. 이곳은 특히 오후 19시 이후 매우 활기찬 곳입니다.

(원문)
Genelde hafta sonları oldukça kalabalık bir yer. Açık hava konserleri ve eğlenceler, sokak…"
 정우정 ,4,1년 전,없음
 이세진 ,4,1년 전,없음
 Chathurika Rathnayaka ,5,1년 전,없음
 Julian Joo-Young Lim ,5,1년 전,밤에 시간 잘 맞춰가면 낭만적이고 좋음
 이윤형 ,4,1년 전,없음
 이상건 ,4,1년 전,없음
 조윤철 ,5,1년 전,없음
 Seat Hava ,5,1년 전,없음
 유동국 ,5,1년 전,없음
 gil kim ,5,1년 전,없음
 Jiyeon Kim ,5,1년 전,없음
 이상호 ,5,1년 전,19년 5월26일을 마지막으로 종료되었습니다
 Hyunyeong Lee ,5,1년 전,없음
 심정환 ,5,1년 전,없음
 jk rhee ,5,1년 전,이젠  역사속으로 사라질 분수. 아쉽네요.
 John Yoon ,5,2년 전,"19년 5월 26일을 마지막으로 공사한대요...
11월쯤 재오픈한다네요..."
 박영준 ,4,2년 전,여름분수.. 한번쯤 가볼만 푸드트럭 다수
 김용찬 ,5,2년 전,없음
 seba choi ,5,2년 전,없음
 남경래 ,5,2년 전,없음
 정희윤 ,3,2년 전,없음
 ki.moon sung ,3,2년 전,없음
 이재수 ,4,2년 전,오랜만에 봤음
 신상철 ,2,2년 전,없음
 이현정 ,4,2년 전,없음
 임창혁 ,5,2년 전,없음
 오덕진 ,4,2년 전,대전광역시
 민대홍 ,3,2년 전,없음
 류준상 ,3,2년 전,이쪽은 축제가 없으면 볼거리가없습니다..
 베라와친구들 ,4,2년 전,없음
 정은주 ,3,2년 전,없음
 강성민 ,5,2년 전,없음
 tops moon ,2,2년 전,없음
 김기백 ,3,2년 전,없음
 수리님 ,1,2년 전,없음
 Jang Bo Shim ,3,2년 전,없음
 hyemi Nam ,5,2년 전,없음
 Oh Juyoung ,5,2년 전,한해도 거르지않고 찾아오는곳! 이번엔 음악분수쇼전에 달달한 사연도 읽어주시고 먹거리 잔뜩있어 배도 부르고 좋은 물건 싸게 살수있는 찬스도 ~ 아이들에겐 더 없는 천국같읏곳! 어른인 나도 이 시간들이 즐겁고 행복 만땅!
 Seungwoo Lee ,5,2년 전,없음
 모성준 ,5,2년 전,없음
 neo dalos ,4,2년 전,없음
 Story gaon ,5,2년 전,없음
 순뚱이 ,5,2년 전,없음
 박쌍칼 ,4,2년 전,가족하고갈만하네요
 Seong-Hoon Park ,5,2년 전,없음
 감성돔 ,4,2년 전,없음
 최병희 ,5,2년 전,음악분수와 푸드트럭 여러가지 마켓좋아요
 Sharon Nabwire ,3,2년 전,없음
