name,ratings,date,comment
 rampage 00 ,5,8시간 전,없음
 seon ,5,19시간 전,"한빛탑 음악분수
8시에 나오는 음악분수만 보려고 갔었는데 너무 멋진 모습에 9시것도 보고왔어요
8시에 한것이랑 음악선곡이랑 분위기가 달라서 더 좋았어요"
 레몬에이드 ,4,1일 전,야간분수공연보고왔어요 돗자리챙겨 가면 좋을 듯 해요  아이들과함께좋았어요
 Frida Kahlo ,5,1일 전,없음
 jea-eok yoo ,4,1일 전,없음
 황금알 ,5,1일 전,분수쇼도 멋지고 한빛탑이 대전의 상징이 되었으면 합니다.
 유수지 ,5,2일 전,물분수 아이들이 좋아해요^^ 저도 힐링했네요~^^
 박연주 ,5,2일 전,없음
 노태훈 ,4,2일 전,굿
 김동근 ,5,5일 전,한빛탑아래 분수쇼 넘좋아요 ♡최고
 이창훈 ,5,5일 전,없음
 Z Y ,5,5일 전,"꿈돌이 귀엽
음악분수 굿"
 Steve Lim ,5,1주 전,"어린 시절 수학여행 이후 방문하는 거라, 기억과 많이 달라진 모습이 낯설면서도 감회가 새로웠습니다. 파사드 프로젝션 및 음악 분수 공연을 제공하여 시민들에게 사랑받는 공원으로 자리매김한 것이 인상적이었습니다."
 김가불 ,5,1주 전,믿고 가는 한빛탑
 김은혜 ,5,1주 전,없음
 서백규 ,5,1주 전,대전의 상징
 SY K ,5,1주 전,이렇게 좋은데 사람 없어서 두바이 싱가폴보다 더 좋음 ㅋㅋ
 윤우아빠 ,5,1주 전,없음
 백성욱 ,3,1주 전,아이들이 좋아했어요~
 김영재 ,5,2주 전,없음
 김효정 ,5,2주 전,나만 당할수 없징
 김종균 ,5,2주 전,없음
 Thiago Candido Salvador ,5,3주 전,없음
 리하쫄 ,5,3주 전,주차요금 있어요~
 변두환 ,5,1달 전,없음
 완스캠핑-camping ,5,1달 전,없음
 Seyoug Kim ,4,1달 전,밤에 예뻐요 입장료 2500
 김무현 ,5,1달 전,대전을 대표하는 타워로 최근 재개장하였습니다. 엑스포다리와 일직선으로 위치하여 조화로워요. 대전 여행의 필수 코스!
 xunmi xon ,5,1달 전,없음
 Ethem Muhtaroğlu ,5,1달 전,없음
 이창현 ,5,1달 전,야경맛집
 Aryan Raghib ,1,1달 전,ㅠㅠㅠㅠㅠ
 하잉 ,4,1달 전,좋지만 썰렁함
 bj신야 ,5,1달 전,없음
 정상문 ,5,1달 전,미디어파사드 좋아요
 제이호야 ,5,2달 전,없음
 이수정 ,1,2달 전,없음
 채도우너 ,5,2달 전,파사드 볼만해요.
 배정철 ,1,2달 전,없음
 Hirohisa Soma ,3,2달 전,없음
 이수지 ,5,2달 전,야경보기조아요
 고은도 ,4,2달 전,없음
 배고프다아 ,2,2달 전,이쁘지만 시끄럽고 담배냄새가 많이남
 암스 ,5,2달 전,"이걸 실물로 보게될줄 몰랐음.
꿈돌이 실물 볼 수 있음."
 Yongcheol Choi ,4,2달 전,최근 새롭게 깔끔하게 단장되었읍니다
 장성민 ,5,2달 전,90년대 국딩의 추억의장소
 shihyun cha ,3,2달 전,없음
 Kyumin OH ,5,2달 전,없음
 봉현용 ,5,2달 전,없음
 고희석 ,5,2달 전,"어렸을 때 꼭 가보고 싶었던 곳이어서 좋았습니다. 지금(21년 2월)은 대부분의 주변시설이 리모델링 중이라서 볼 건 별로 없었지만, 리모델링 이후의 모습이 기대됩니다."
 Tibber Kim ,2,2달 전,황량해서 아쉽
 너구리먹고싶당 ,3,2달 전,없음
 김대성 ,5,2달 전,"너무 이쁘고 좋음 우연치않게 산책나왓다 발견.
다시가고싶음 포토존같은것도있고 작은 놀이기구도 있다 여유롭게 커피한잔하면서 가만히 앉아있고 싶은곳. 사람이 너무많아 아쉽지만 거기서 뭘 먹진 못할듯.."
 김환 ,5,2달 전,내부가 굉장히 깔끔함! 타워에서 아래쪽 풍경을 시원히 내려다볼수있어 좋음 직원들도 매우 친절하고 가격도 저렴함(입장료 성인 2500원)
 BISON OF ARABIA ,3,2달 전,없음
 ki콜로세움 ,1,3달 전,과거 혁명적인 대전엑스포 느낌이 전혀없네요
 Jong Cheol Park ,3,3달 전,없음
 SeongJae Hong ,5,3달 전,"(Google 번역 제공) 대전의 랜드 마크, 특히 밤 7 시부 터 시작되는 아름다운 미디어 쇼

(원문)
Landmark in Daejeon, especially beutiful media show at night starting from 7 PM"
 조정록 ,4,3달 전,없음
 I불나방I ,5,3달 전,없음
 Yongmyeong Kwon ,3,3달 전,없음
 John Kang ,5,3달 전,"(Google 번역 제공) 대전 최고의 경치를 보여주기 위해 외국인 친구들과 탑까지 올라갔습니다. 정말 멋진 전망이 있습니다.

(원문)
I have been up to the tower with international friends to show the best view of Daejeon. It really has a great view."
 summ sum ,5,3달 전,없음
 K P ,4,3달 전,없음
 최현규 ,5,3달 전,없음
 변지호 ,2,3달 전,없음
 김히히 ,5,3달 전,없음
 이젠전투 ,5,3달 전,없음
 조예슬 ,3,3달 전,"레이저쇼 스토리없고..  재미없고
산책하기좋아요"
 신효주&주원 아빠 ,4,3달 전,"그냥
기대가 너무컸나...
조금 실망한듯ㅠ.ㅠ
그래도 아이들이 좋아해서
^^"
 박만일 ,4,3달 전,좋아요
 배진환 ,5,3달 전,예쁘게 잘해놨네요
 dongsoo s ,4,3달 전,밤에 야경이 넘 좋아요
 Jinyoup Ahn ,5,3달 전,없음
 전뱅 ,5,3달 전,"요새 이뻐짐
산책가기 좋아요~"
 go ko ,5,3달 전,밤에 꼭 보러오세요
 심재성 ,5,3달 전,없음
 김학서 ,3,4달 전,없음
 유호상 ,5,4달 전,없음
 HJ LEE ,4,4달 전,조아요
 eric son ,5,4달 전,없음
 Armin Mousapoor ,5,4달 전,없음
 sunghun bang ,5,4달 전,과학가득 신비가득 멋진경관 굿입니다
 김동현 ,5,4달 전,없음
 BH J ,4,4달 전,없음
 강영진 ,5,4달 전,없음
 Hyoshin Kim ,5,4달 전,"넓은 공간이 있어, 모든 계절에 방문하기에 좋은 곳입니다."
 # ,3,4달 전,볼건없음
 Bart McPeak ,4,4달 전,"(Google 번역 제공) 멋진 전망

(원문)
Nice views"
 Yun Hwangbo ,4,4달 전,없음
 Sugeun KIM ,5,4달 전,"25년전 추억으로 꿈돌이 보러갔다가

추억만 만지작 하고 온 곳.

무슨 건물마다 입장료 2,500원씩을 받아요.

전체 입장료 5,000원 받고 다 들어갈 수 있게하지.

대한민국 모든 엑스포 장소는 유령도시가 됩니다.

추천~ 나만 갈 수 없지~"
 Banghyun Joo ,5,4달 전,없음
 fullmetal alchemist Oui ,5,4달 전,엘이디 트리♥
 이남하 ,5,4달 전,없음
 oo dd ,5,4달 전,완전이뻐요!
 Minseong Jeon ,1,4달 전,없음
 윤기동 ,5,4달 전,시민휴식공간으로 재탄생햇네요
 박수지 ,4,4달 전,없음
 Wooseok Nam ,4,4달 전,"한빛탑 빛의 향연 중이지요.
겨울 밤을 멋지게 밝혀주네요."
 조혜현 ,5,4달 전,말일까지 한빛탑^^
 5은경 ,5,4달 전,한빛탑 미디어 파사드
 김수현 ,5,4달 전,없음
 안병욱 ,5,4달 전,없음
 Ran Park ,5,4달 전,새로 바뀌고 깔끔해졌음. 강아지동반 불가.
 장연옥 ,5,4달 전,없음
 로롱다리 ,1,5달 전,주변에공사하고 엉망 뭐보ㅓ가야할지모르겟음
 Suk hoon Kang ,5,5달 전,대전의 랜드마크
 이기환 ,5,5달 전,없음
 Dave Lee ,4,5달 전,옛추억이 새록새록..
 박은선 ,5,5달 전,31일까지 저녁6시부터 9시까지 20분씩 미디어파사드 운영하는데 넘 예쁘고 연말분위기 나요
 딸기망고 ,2,5달 전,없음
 Carla Souza ,5,5달 전,"(Google 번역 제공) 너무 나쁜 것은 닫혔습니다 (covid) ... loks super coll 그래도

(원문)
Too bad is closed (covid) ... loks super coll though"
 주진 ,4,5달 전,없음
 기기 ,1,5달 전,없음
 Chan Yun Park ,5,5달 전,없음
 잌ik tube ,5,5달 전,절대 꿈돌해!
 조국희 ,3,6달 전,없음
 김효성 ,3,6달 전,그럭저럭..
 박종우 ,5,6달 전,없음
 김종현 ,5,6달 전,좋았어요
 우오와 ,5,6달 전,추억이있는곳
 김동우 ,4,6달 전,90년대 추억을 소환하는 좋은 곳이에요!
 이동현 ,4,6달 전,없음
 준뽕 ,3,6달 전,없음
 한상익 ,3,6달 전,"주차장부터 돈받기시작해서
들어갈수있는 모든곳이라고 하기에  창피한 3건물도 모두 입장료가 있습니다
광장은 유지보수가 안돼 모든 바닥대리석?이 깨져있고
이제 흉물에가까워요"
 그링자의캠핑클레스 & 문화캠핑 ,5,6달 전,좋아요
 송민우 ,5,6달 전,없음
 김응순 ,4,6달 전,없음
 제이 ,3,6달 전,없음
 Jin Park ,2,7달 전,공사가 절실한 상황. 과거의 엑스포의 유일한 증거인데 너무 관리가 안되고 있음
 푸른마 ,5,7달 전,"1993 대전 엑스포
부모님 잃고 1시간 헤맨 추억의 장소"
 권미숙 ,4,7달 전,가을 하늘과 넘 멋지게 어울어져 좋았어요
 Chungseop Lee ,5,8달 전,없음
 Karen _ ,4,8달 전,추억이 묻어나는 곳
 hyeon seok jeong ,5,8달 전,많이 바뀐....
 박진수 ,4,8달 전,없음
 김승태 ,4,8달 전,없음
 Gam Kang ,5,9달 전,한화가 지었대
 Jose Jo ,5,9달 전,예쁨 ㅎㅎ 랜드마크
 최혜경 ,4,9달 전,없음
 김은미 ,1,9달 전,공사중
 마카로니 ,5,10달 전,코로나로 아직 문닫았어요
 코비 ,3,11달 전,없음
 Partha Pratim Hazra ,5,11달 전,없음
 박수연 ,2,11달 전,없음
 이규환 ,4,11달 전,없음
 이소윤 ,1,11달 전,없음
 김향월 ,5,11달 전,없음
 양지선 ,4,1년 전,없음
 김수호 ,5,1년 전,없음
 SeongMin Yu ,5,1년 전,"대전의 랜드마크, 모두들 각자 만의 추억이 있는 곳."
 이경호 ,5,1년 전,없음
 Алексе́й ,5,1년 전,대한민국 최초의 국제박람회기구 공인 엑스포로 열린 1993년 세계 박람회를 기념하기 위해 세워진 높이 93m의 상징 조형물입니다.  현재는 엑스포 다리와 함께 대전을 대표하는 랜드마크로 자리 잡았고 한빛탑 광장 일대에서는 연중 야외 이벤트가 끊이지 않고 열리고 있습니다.
 KAIEN ,4,1년 전,엑스포의 추억
 Star Star ,5,1년 전,없음
 회인TV ,5,1년 전,없음
 TED K ,3,1년 전,"추억으로 가볼만하지만 두번가지는 않을 듯함
전망대 안에 자판기만 있음"
 행동하는양심 ,4,1년 전,93 년도 추억이 새록새록.
 남채흔 ,3,1년 전,없음
 슈퍼smith ,3,1년 전,"쌀렁하더이다;;;
직원들이 날보고 놀람;;
예전에 못와봤는데 이제야와봤음"
 강나루 ,5,1년 전,없음
 오준석 ,4,1년 전,없음
 침뽕 ,5,1년 전,야간 개장도 하면 좋을 것 같습니다.
 unicoop u ,1,1년 전,경비아저씨 불친절한 안내 기분 좋지않아요
 최지원 ,5,1년 전,없음
 김영선 ,5,1년 전,한가하니좋네요~~
 여인석 ,4,1년 전,없음
 조성현 ,5,1년 전,올라가보니 2020년 걱정거리가 없어지고 가슴이 뻥뚤린거 같아서 좋았다 다음에도 또올라가보고 싶다
 mile 스마일 s ,3,1년 전,맥주축제때 방문했는데 푸드트럭이 생각보다 특별한게 없었네요.
 정회근 ,3,1년 전,없음
 이진하 ,3,1년 전,대전의 상징이자 노후화늬 상징...
 Sharon Nabwire ,3,1년 전,"(Google 번역 제공) 대전 다리의 멋진 전망을 제외하고는 볼거리가 많지 않습니다.

(원문)
Not much to see and this place except for the nice view of Daejeon bridge."
 Eugene Rastokin ,4,1년 전,없음
 맛있는밥 ,5,1년 전,없음
 윤금란 ,1,1년 전,없음
 민챙 ,3,1년 전,없음
 서천물영감 ,4,1년 전,여름 달빛축제때가면 볼꺼리도 많고 좋아요
 김원준 ,3,1년 전,"높아 좋은데,,"
 이준희 ,2,1년 전,없음
 WY Han ,4,1년 전,대전의 멋진 랜드마크 입니다.
 김성호 ,5,1년 전,없음
 autumn ,5,1년 전,직원분들 너무 친절하세요. 꿈돌이 미니어처나 엽서같은 굿즈가 있었다면 좋았을텐데 그게 너무 아쉽네용.
 성유경 ,4,1년 전,없음
 Jayden ,5,1년 전,달밤소풍 공연이 좋았음
 oto oto ,4,1년 전,없음
 Джин Чай ,3,1년 전,그냥 추억을 되살리기엔 좋은 조형물이지만 위치가 좀 어정쩡해서 자차로 가면 잠깐 들르기 나쁘지 않아도 대중교통까지 이용해서 찾아가는 것은 완전 추천하지 않습니다.
 전성호 ,3,1년 전,없음
 미츄 ,4,1년 전,산책하기 좋은 대전야경맛집
 bosuk ,5,1년 전,"1993년도 초3학년때 그렇게 가고싶었는데
지금가보니 감회가 새롭네요"
 만생이 ,3,1년 전,없음
 가라뫼 ,1,1년 전,없음
 서선숙 ,5,1년 전,없음
 전유은 ,5,1년 전,없음
 이학수 ,3,1년 전,주말에 관람객이 너무없네요
 김정록 ,4,1년 전,엑스포 공원에 있는 한빛탑으로 이젠 근 30년이 다되어 가는 듯.. 엑스포기념관은 무료로 둘러볼 수 있어 좋았어요.
 정영주 ,1,1년 전,없음
 wall E ,3,1년 전,어릴 적 추억여행.
 Walter Bae ,5,1년 전,오랜만에 가보았네요. 예전엑스포의 마지막추억자리
 달무리 ,1,1년 전,없음
 萩谷直之 ,3,1년 전,"(Google 번역 제공) 이전 붐볐다 것입니다.

(원문)
以前は賑わっていたのでしょう。"
 공항행정학과한서대학교 ,2,1년 전,없음
 There Hello ,5,1년 전,없음
 yang yang ,5,1년 전,없음
 블링타임 ,1,1년 전,없음
 한재성 ,5,1년 전,없음
 이경태 ,4,1년 전,없음
 S W ,5,1년 전,'93 추억의 엑스포
 홍관홍 ,3,1년 전,없음
 송다훈 ,4,1년 전,"내부로 못들어감 매우 유의하길.
긴 거리를 걷거나 자전거타고오는사람이 대부분일텐데 내부 못들어가는거 미리 알고 가는게 나중에 실망안할 수 있음 그래도 불키고 이것저것하면 건물 자체가 보기 이쁨"
 김경 ,2,1년 전,없음
